drug,location,dosage,quantity,pharmacy,price,special_offer,standard_coupon_price,special_coupon_price,online_pharmacy,city
Amlodipine,60601,10mg,30 tablets,Meijer Pharmacy,8.7,no special offer,,,False,Chicago
Amlodipine,60601,10mg,30 tablets,CVS Pharmacy,19.22,special offers,28.32,19.22,False,Chicago
Amlodipine,60601,10mg,30 tablets,Costco,12.99,special offers,17.99,12.99,False,Chicago
Amlodipine,60601,10mg,30 tablets,Target (CVS),19.22,special offers,28.32,19.22,False,Chicago
Amlodipine,60601,10mg,30 tablets,Walmart,9.0,no special offer,,,False,Chicago
Amlodipine,60601,10mg,30 tablets,Mariano's,7.53,no special offer,,,False,Chicago
Amlodipine,60601,10mg,30 tablets,Sams Club,7.26,special offers,9.76,7.26,False,Chicago
Amlodipine,60601,10mg,30 tablets,Aurora Pharmacy,8.07,no special offer,,,False,Chicago
Amlodipine,60601,10mg,30 tablets,Walmart Neighborhood Market,9.0,no special offer,,,False,Chicago
Amlodipine,60601,10mg,30 tablets,Walgreens Specialty Pharmacy,10.13,special offers,17.63,10.13,False,Chicago
Amlodipine,60601,10mg,30 tablets,Capsule Pharmacy,18.86,no special offer,,,False,Chicago
Omeprazole,10001,40mg,30 capsules,CVS Pharmacy,20.03,special offers,29.13,20.03,False,New York
Omeprazole,10001,40mg,30 capsules,Walgreens,18.37,special offers,20.87,18.37,False,New York
Omeprazole,10001,40mg,30 capsules,ShopRite,10.75,no special offer,,,False,New York
Omeprazole,10001,40mg,30 capsules,Duane Reade,18.37,special offers,20.87,18.37,False,New York
Omeprazole,10001,40mg,30 capsules,Capsule Pharmacy,23.09,no special offer,,,False,New York
Omeprazole,10001,40mg,30 capsules,Costco,13.66,special offers,18.66,13.66,False,New York
Omeprazole,10001,40mg,30 capsules,Target (CVS),20.03,special offers,29.13,20.03,False,New York
Omeprazole,10001,40mg,30 capsules,Acme Markets Pharmacy,7.0,special offers,10.37,7.0,False,New York
Omeprazole,10001,40mg,30 capsules,Walmart,2.0,special offers,15.17,2.0,False,New York
Omeprazole,10001,40mg,30 capsules,Wegmans,5.82,special offers,9.32,5.82,False,New York
Omeprazole,10001,40mg,30 capsules,ACME Sav-On,7.0,special offers,10.37,7.0,False,New York
Omeprazole,10001,40mg,30 capsules,Walgreens Specialty Pharmacy,18.37,special offers,20.87,18.37,False,New York
Omeprazole,10001,40mg,30 capsules,King Kullen,8.55,special offers,10.75,8.55,False,New York
Omeprazole,10001,40mg,30 capsules,Walmart Neighborhood Market,2.0,special offers,15.17,2.0,False,New York
Omeprazole,10001,40mg,30 capsules,Rite Aid,12.09,no special offer,,,False,New York
Omeprazole,90001,40mg,30 capsules,CVS Pharmacy,20.03,special offers,29.13,20.03,False,Los Angeles
